Nr.;"Vaiko identifikacinis Nr.";"Vaiko gimimo data";"Prašymo pateikimo data";"Vaiko priėmimo į grupę data";"Priskirtas į įstaigą";"Registruotas mieste";"Atitinka priskirta teritorija";"Vaiko seniūnija";"Sutartis pasirašyta";"Grupės pavadinimas";"Grupės ugdomoji kalba";"Grupės ugdymo metodika";"Grupės tipas";"Grupės amžiaus intervalas";"Darželio pavadinimas";"Darželio seniūnija";"Iš eilės/be eilės";"Laukia eilėje, laukia pakeisti darželį"
8907;9215518851;;;2021-09-01;2021-05-03;Taip;Taip;Pašilaičių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Taip
8908;7085675736;;;2021-09-01;2021-05-03;Taip;Ne;Žirmūnų;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8909;3453525147;;;2021-09-01;2021-05-04;Taip;Ne;Žirmūnų;Taip;"ŽIRNIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Nykštukas;Justiniškių;"be eilės";Ne
8910;5247014490;;;2021-09-01;2021-05-05;Taip;Taip;Pilaitės;Taip;"NAUJA 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 3 iki 4 metų";2012-2012.5;Nykštukas;Justiniškių;"be eilės";Ne
8911;3576638172;;;2021-09-01;2021-05-05;Taip;Taip;Pašilaičių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8912;8980738746;;;2021-09-01;2021-05-05;Taip;Taip;Verkių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8913;8864070698;;;2021-08-23;2021-05-05;Taip;Taip;Pilaitės;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8914;4679986556;;;2021-09-01;2021-05-05;Taip;Taip;Vilkpėdės;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8915;8550217241;;;2021-11-01;2021-05-05;Taip;Taip;Naujininkų;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8916;8593476471;;;2021-03-01;2021-05-05;Taip;Taip;Justiniškių;Taip;"NAUJA 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 3 iki 4 metų";2012-2012.5;Nykštukas;Justiniškių;"be eilės";Ne
8917;8882974896;;;2021-09-01;2021-05-05;Taip;Taip;Pašilaičių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8918;9777176531;;;2021-09-01;2021-05-05;Ne;Ne;-;Taip;"NAUJA 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 3 iki 4 metų";2012-2012.5;Nykštukas;Justiniškių;"be eilės";Ne
8919;2488788837;;;2021-09-01;2021-05-05;Ne;Ne;-;Taip;"NAUJA 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 3 iki 4 metų";2012-2012.5;Nykštukas;Justiniškių;"be eilės";Ne
8920;1080112224;;;2021-07-01;2021-05-05;Taip;Taip;Justiniškių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8921;1425886629;;;2021-09-01;2021-05-05;Ne;Ne;-;Taip;"NAUJA 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 3 iki 4 metų";2012-2012.5;Nykštukas;Justiniškių;"be eilės";Taip
8922;4215483888;;;2021-09-01;2021-05-05;Taip;Taip;Justiniškių;Taip;"KŪLVERSTUKAI 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 1,5 iki 3 metų";2013-2014.5;Nykštukas;Justiniškių;"be eilės";Ne
8923;7903573169;;;2021-09-01;2021-05-05;Taip;Taip;Justiniškių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8924;7666581191;;;2021-09-01;2021-05-05;Taip;Taip;Justiniškių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8925;9385947731;;;2021-09-01;2021-05-05;Taip;Taip;Verkių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Taip
8926;9900187648;;;2021-09-01;2021-05-05;Taip;Taip;Justiniškių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8927;4665310957;;;2021-09-01;2021-05-05;Taip;Taip;"Naujosios Vilnios";Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8928;9316002367;;;2021-09-01;2021-05-05;Taip;Taip;Pilaitės;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8929;2717913041;;;2021-09-01;2021-05-05;Taip;Taip;Justiniškių;Taip;"ŽIRNIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Nykštukas;Justiniškių;"be eilės";Ne
8930;9716705517;;;2021-09-01;2021-05-06;Taip;Taip;Justiniškių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8931;4820904823;;;2021-09-01;2021-05-06;Taip;Taip;Justiniškių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Taip
8932;5812507502;;;2021-09-01;2021-05-06;Taip;Taip;Justiniškių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8933;7818556066;;;2021-09-01;2021-05-06;Taip;Taip;Šnipiškių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8934;7030984175;;;2021-09-01;2021-05-08;Ne;Ne;-;Taip;"NAUJA 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 3 iki 4 metų";2012-2012.5;Nykštukas;Justiniškių;"be eilės";Ne
8935;2918512627;;;2021-09-01;2021-05-11;Ne;Ne;-;Taip;TREPSIUKAI;Lietuvių;"Nėra specifinių pageidavimų";"Nuo 3 iki 4 metų";2012-2012.5;Nykštukas;Justiniškių;"be eilės";Ne
8936;2538738033;;;2021-09-01;2021-05-19;Taip;Taip;Justiniškių;Taip;"NAUJA 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 3 iki 4 metų";2012-2012.5;Nykštukas;Justiniškių;"be eilės";Ne
8937;5591943479;;;2021-09-01;2021-06-25;Taip;Taip;Justiniškių;Taip;"KŪLVERSTUKAI 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 1,5 iki 3 metų";2013-2014.5;Nykštukas;Justiniškių;"be eilės";Ne
8938;6454326856;;;2021-09-01;2021-05-31;Taip;Taip;Pilaitės;Taip;"NAUJA 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 3 iki 4 metų";2012-2012.5;Nykštukas;Justiniškių;"be eilės";Ne
8939;5961748641;;;2021-09-01;2021-06-08;Taip;Taip;Justiniškių;Taip;"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8940;6718913866;;;2021-09-01;2021-06-08;Taip;Taip;Justiniškių;Taip;"ŽIRNIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Nykštukas;Justiniškių;"be eilės";Ne
8941;2770288807;;;2021-09-01;2021-06-17;Ne;Ne;-;Taip;"ŽIRNIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 4 iki 5 metų";2011-2011;Nykštukas;Justiniškių;"be eilės";Ne
8942;7192161910;;;2021-09-01;2021-06-18;Ne;Ne;-;Taip;"NAUJA 2021";Lietuvių;"Alergiškų vaikų grupė";"Nuo 3 iki 4 metų";2012-2012.5;Nykštukas;Justiniškių;"be eilės";Ne
8943;1697095760;;;2021-09-01;2021-06-08;Taip;Taip;Justiniškių;"Sutartis nepasirašyta";"TREPSIUKAI 2021";Lietuvių;"Nėra specifinių pageidavimų";"Nuo 2 iki 3 metų";2012-2013;Nykštukas;Justiniškių;"be eilės";Ne
8944;8178298861;;;2016-09-01;2016-05-31;Taip;Taip;Fabijoniškių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8945;6263062055;;;2016-09-01;2016-06-01;Taip;Taip;Fabijoniškių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8946;9195536968;;;2016-10-03;2016-06-01;Taip;Taip;Šeškinės;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8947;2991511872;;;2015-12-01;2015-05-30;Taip;Taip;Pašilaičių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8948;5016547315;;;2016-09-01;2016-05-31;Taip;Taip;Šeškinės;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8949;1564826076;;;2016-09-01;2016-05-31;Taip;Taip;Šeškinės;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8950;2511477658;;;2016-06-23;2015-05-30;Taip;Taip;Fabijoniškių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8951;6088757991;;;2016-04-13;2016-04-13;Taip;Taip;Fabijoniškių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8952;5822871838;;;2016-09-01;2016-06-01;Taip;Taip;Verkių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8953;2635045515;;;2016-09-01;2016-06-01;Taip;Taip;Fabijoniškių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8954;6499549095;;;2015-09-01;2015-05-30;Taip;Taip;Fabijoniškių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8955;6666591428;;;2016-09-01;2016-05-31;Taip;Taip;Šeškinės;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8956;1144679735;;;2016-09-26;2016-08-23;Taip;Taip;Šeškinės;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8957;2773182934;;;2016-01-04;2015-11-24;Taip;Taip;Verkių;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8958;4357737538;;;2016-09-01;2016-06-01;Taip;Taip;Fabijoniškių;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8959;5642468671;;;2015-12-30;2015-06-01;Taip;Taip;Šeškinės;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8960;1045890394;;;2016-09-01;2016-06-01;Taip;Taip;Šeškinės;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8961;7686706482;;;2016-09-01;2016-06-01;Taip;Taip;Šeškinės;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8962;2395567376;;;2016-09-01;2016-06-01;Taip;Taip;Pašilaičių;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8963;5383739203;;;2016-09-05;2016-09-01;Taip;Taip;Šeškinės;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8964;4583818638;;;2015-12-01;2015-06-02;Taip;Taip;Šeškinės;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8965;1543683077;;;2016-09-01;2016-06-01;Taip;Taip;Šeškinės;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8966;2297650260;;;2017-10-01;2017-07-25;Taip;Taip;Šeškinės;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8967;2165291778;;;2017-09-01;2017-07-25;Taip;Taip;Šeškinės;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8968;6646671212;;;2017-09-01;2017-05-23;Taip;Taip;Šeškinės;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8969;7908028909;;;2017-09-01;2017-05-18;Taip;Taip;Verkių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8970;9762737217;;;2017-09-01;2017-05-23;Taip;Taip;Šeškinės;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8971;9443843603;;;2017-09-22;2017-09-18;Taip;Taip;Verkių;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8972;7421484648;;;2017-09-01;2017-07-07;Taip;Taip;Pašilaičių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8973;8987796218;;;2016-09-01;2016-06-01;Taip;Taip;Šeškinės;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8974;4857216527;;;2018-09-01;2018-04-26;Taip;Taip;Verkių;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
8975;7776754188;;;2018-09-10;2018-04-25;Taip;Taip;Fabijoniškių;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
8976;5097380041;;;2018-09-03;2018-04-26;Taip;Taip;Verkių;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Taip
8977;3109261153;;;2018-09-01;2018-04-26;Taip;Taip;Karoliniškių;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
8978;9781398468;;;2018-09-01;2018-04-26;Taip;Taip;Fabijoniškių;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
8979;8488500486;;;2018-09-01;2018-04-26;Taip;Taip;Šnipiškių;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
8980;4595986358;;;2018-09-01;2018-04-22;Taip;Taip;Šeškinės;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
8981;5421245991;;;2018-09-01;2018-04-22;Taip;Taip;Šeškinės;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
8982;5751808248;;;2018-09-01;2018-04-23;Ne;Ne;-;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8983;4556076744;;;2018-09-01;2018-04-19;Taip;Taip;Fabijoniškių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
8984;3783477511;;;2018-09-01;2017-05-30;Taip;Taip;Pašilaičių;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8985;6778987483;;;2018-09-03;2018-06-27;Taip;Taip;Fabijoniškių;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
8986;4640897674;;;2017-09-01;2017-05-24;Taip;Taip;Fabijoniškių;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8987;9277208213;;;2017-09-01;2017-05-24;Taip;Taip;Šeškinės;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8988;8040293681;;;2018-09-01;2018-04-23;Taip;Taip;Šeškinės;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8989;1856258542;;;2017-09-01;2017-07-25;Taip;Taip;Fabijoniškių;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8990;5922569280;;;2017-09-01;2017-07-25;Taip;Taip;Fabijoniškių;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8991;7640409923;;;2017-08-28;2016-11-17;Taip;Taip;Šeškinės;"Sutartis nepasirašyta";Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8992;4601869799;;;2017-09-01;2017-05-23;Taip;Taip;Šeškinės;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8993;7125754645;;;2017-09-01;2017-07-07;Ne;Ne;-;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8994;2824133388;;;2017-01-02;2016-06-01;Ne;Ne;-;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8995;7287989663;;;2017-09-01;2017-07-07;Taip;Taip;Šeškinės;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8996;6819000895;;;2017-09-01;2017-05-24;Taip;Taip;Verkių;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8997;5950860889;;;2017-09-01;2017-05-24;Taip;Taip;Fabijoniškių;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8998;4886045470;;;2017-09-01;2017-05-12;Taip;Taip;Fabijoniškių;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
8999;3212050416;;;2017-09-01;2017-05-24;Taip;Taip;Šeškinės;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9000;3725141591;;;2017-09-01;2017-07-07;Taip;Taip;Šeškinės;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9001;8743467101;;;2017-11-13;2017-11-03;Taip;Taip;Pašilaičių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9002;2964318343;;;2018-09-01;2016-06-01;Taip;Taip;Šeškinės;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9003;8696127374;;;2018-09-01;2018-04-25;Taip;Taip;Fabijoniškių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9004;7576552768;;;2017-10-02;2017-05-31;Ne;Ne;-;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9005;3704303636;;;2017-09-01;2017-05-30;Taip;Taip;Fabijoniškių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9006;2573702751;;;2017-09-01;2017-05-30;Taip;Taip;Fabijoniškių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9007;3412369198;;;2017-11-13;2017-11-03;Taip;Ne;-;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9008;2951875705;;;2017-11-15;2017-11-10;Taip;Taip;Verkių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9009;7305274617;;;2017-09-01;2017-05-25;Taip;Taip;Fabijoniškių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9010;9306887706;;;2017-09-01;2017-05-25;Taip;Taip;Šeškinės;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9011;9084187344;;;2017-09-01;2017-07-25;Taip;Taip;Pašilaičių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9012;1348751454;;;2017-09-01;2017-05-31;Taip;Taip;Fabijoniškių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9013;9322080266;;;2018-09-01;2017-05-24;Taip;Taip;Šeškinės;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9014;6809992664;;;2017-11-13;2017-11-03;Taip;Taip;Verkių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Taip
9015;4516291572;;;2017-09-01;2017-05-30;Taip;Taip;Šeškinės;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9016;4287719751;;;2017-09-01;2017-07-25;Taip;Taip;Fabijoniškių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9017;9620747099;;;2017-09-01;2017-05-24;Taip;Taip;Šeškinės;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9018;5216695220;;;2016-10-03;2016-09-09;Taip;Taip;Šeškinės;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9019;8779047802;;;2017-09-01;2017-05-25;Taip;Taip;Šeškinės;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9020;5392929222;;;2018-09-01;2018-04-21;Taip;Taip;Šeškinės;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9021;7038928164;;;2018-09-01;2018-06-08;Taip;Taip;Fabijoniškių;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Taip
9022;9496746778;;;2017-10-02;2017-05-31;Taip;Taip;Fabijoniškių;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
9023;8222112564;;;2018-10-11;2017-08-16;Taip;Taip;Šeškinės;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9024;8503041003;;;2018-10-15;2018-10-09;Taip;Taip;Pašilaičių;Taip;Voveraitės;;;"Nuo 6 iki 7 metų";2009-2009;Ozas;Šeškinės;"be eilės";Ne
9025;4514798132;;;2018-10-25;2018-10-17;Taip;Taip;Fabijoniškių;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
9026;2729524188;;;2019-01-02;2018-12-17;Taip;Taip;Šeškinės;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
9027;8797919230;;;2019-04-01;2019-03-28;Taip;Taip;Justiniškių;Taip;Kodelčiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9028;2281337233;;;2017-09-01;2017-07-25;Taip;Taip;Fabijoniškių;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Taip
9029;4247941696;;;2018-09-01;2018-04-21;Taip;Taip;Fabijoniškių;Taip;Pelėdžiukai;;;"Nuo 5 iki 6 metų";2010-2010;Ozas;Šeškinės;"be eilės";Ne
9030;2522810593;;;2018-09-01;2018-04-26;Taip;Taip;Šeškinės;Taip;"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
9031;6456146804;;;2018-09-01;2018-04-24;Taip;Taip;Fabijoniškių;"Sutartis nepasirašyta";"Kačiukai ";;;"Nuo 3 iki 5 metų";2011-2012;Ozas;Šeškinės;"be eilės";Ne
9032;4891451748;;;2018-10-05;2018-10-02;Ne;Ne;-;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
9033;9813020279;;;2018-09-03;2016-07-20;Taip;Taip;Fabijoniškių;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
9034;2922370952;;;2016-09-01;2016-06-01;Taip;Taip;Pašilaičių;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
9035;2544858937;;;2016-09-01;2016-06-01;Taip;Taip;Fabijoniškių;Taip;Aitvarėliai;;;"Nuo 5 iki 7 metų";2009-2010;Ozas;Šeškinės;"be eilės";Ne
